mouse_id,population,family,sex,acclim1,acclimation,po2,temp,mass,vo2,vo2_mass,vo2.res,vco2,vco2_mass,tv_btps,tv_btps_mass,tv_stp,frequency,total_vent,total_vent_mass,total_vent_stp,total_vent_mass_stp,pulmonary_extraction,arterial_sat,hr,o2_pulse,venous_content,hb,ca02,av_diff,ox_extraction_ratio,co,co_mass,sv,sv_uL,sv_ul_g,o2_delivery,venous_sat,hct,mean_cell_hb,pco2,ph,bicarb_6.1,bicarb_6.08,glu,lac
ME.F1.141.u,ME,ME141,M,3,CH,hypox,cold,24.8,6.27,0.252822581,2.451379533,4.79,0.1932,,,,,,,,,,,,,1.293,18.275,,,,,,,,,,7.075239398,0.470750936,0.025759285,25,7.35,13.33709558,13.96565352,15.4,3.3
ME.F1.141.v,ME,ME141,M,3,CH,hypox,cold,18.7,4.894342451,0.261729543,1.427235304,3.451633488,0.184579331,10.36982022,0.01036982,9.304428935,571.9378612,110.9076953,5.930892798,99.51308195,5.321555185,0.40578268,89.36953642,626.8874172,0.007807371,,14.63,,,,,,,,,,,,,,,,,,
ME.F1.141.w,ME,ME141,M,3,CH,hypox,cold,18.6,5.220086139,0.280649792,1.758741506,4.108188277,0.220870337,10.81918739,0.010819187,9.534653387,597.7122626,120.2817541,6.50171644,106.001014,5.698979249,0.40559167,,,,1.632,14.63,,,,,,,,,,11.15516063,0.332990684,,,,,,14.7,7.6
ME.F1.144.3t,ME,ME144,M,3,CH,hypox,cold,18.5,2.711726454,0.146579808,-0.743855666,1.812624009,0.097979676,12.5997672,0.012599767,11.30360761,408.0622951,95.11756355,5.141489921,85.33265718,4.612576064,0.26214038,96.21688312,488.3896104,0.005552384,,,,,,,,,,,,,,,,,,,,
ME.F1.144.3u,ME,ME144,M,3,CH,hypox,cold,18.7,3.579785035,0.191432355,0.112677888,2.436368902,0.130287107,11.25030457,0.011250305,10.02503465,443.6395092,93.33318844,4.991079596,83.16827717,4.447501453,0.353679247,91.31134752,560.7142857,0.00638433,1.399,11.23,14.25342741,12.85442741,0.901848169,27.84865416,1.489232843,0.002655957,49.66638958,2.655956662,21.22667223,12.45770258,0.358953658,0.031963816,25,7.35,13.33709558,13.96565352,6.7,3.9
ME.F1.144.v,ME,ME144,M,3,CH,hypox,cold,17.3,4.522942847,0.261441783,1.136510889,3.510706882,0.202931034,10.72659933,0.010726599,9.484403861,528.4424402,98.06315261,5.668390324,86.7069343,5.01196152,0.43023684,,,,,,,,,,,,,,,,,,,,,,,
ME.F1.145.2g,ME,ME145,M,0,N,norm,warm,21.5,2.76956222,0.128816847,-0.858895303,0.005473013,0.000254559,13.68808454,0.013688085,10.82470274,371.0727723,109.2044228,5.079275478,86.36017776,4.016752454,0.266851067,,,,,,,,,,,,,,,,,,,,,,,
ME.F1.145.ad,ME,ME145,F,2,C,norm,cold,20.92,4.293481204,0.205233327,0.698446259,2.763173964,0.132082885,7.924626544,0.007924627,4.783044819,436.6463819,72.38862892,3.460259509,43.69140358,2.088499215,0.812259267,88.39692308,569.8333333,0.007534626,1.5,12.324,15.14271115,13.64271115,0.900942441,31.47087963,1.50434415,0.002639972,55.22821812,2.639972185,22.77984894,12.17137293,0.401295585,0.032562121,41.6,7.39,24.3340606,25.48088955,8.3,1.8
ME.F1.145.ae,ME,ME145,F,2,C,norm,cold,21.4,4.61190278,0.215509476,0.98920777,3.08721599,0.144262429,11.10514856,0.011105149,10.1030206,501.7867263,119.2497054,5.572416141,108.4886189,5.069561632,0.352424563,98.17748344,422.5231788,0.010915147,2.558420548,19.34,26.39266016,23.83423962,0.90306318,19.34990524,0.904201179,0.002140004,45.79607986,2.140003732,23.86427445,13.22864813,0.451215345,0.02333068,46.3,7.4,27.71419355,29.02032326,8.5,6.8
ME.F1.145.af,ME,ME145,F,0,N,norm,warm,18.3,2.187460647,0.119533369,-1.256596446,1.242700339,0.067907122,10.0169968,0.010016997,8.987916863,369.0792894,67.65630892,3.697066061,60.70574762,3.317253969,0.300428432,77.51774194,510.3377483,0.0042863,2.699628755,16.48,17.75714418,15.05751543,0.84796943,14.5273678,0.793845235,0.001555529,28.46618312,1.555529132,14.09642429,16.38124245,0.421603042,0.025582709,45.5,7.37,25.41748942,26.61537879,8,4.3
ME.F1.145.ag,ME,ME145,F,0,N,norm,warm,18.3,2.689612148,0.146973341,-0.754444945,1.796365526,0.098162051,10.26934406,0.010269344,9.321111392,338.8767471,61.94474597,3.480041909,56.22500076,3.158707908,0.394776562,90.54078947,486.0723684,0.005533357,3.498081903,14.85,18.68897706,15.19089516,0.812826465,17.70542236,0.967509419,0.001990464,36.42548623,1.990463729,18.08176133,23.55610709,0.426719293,0.028735306,43.4,7.27,19.25799121,20.16559238,9.6,6.3
